ORDERDATE,SALES
2023-10-24,238.45
2023-10-25,233.15
2023-10-26,238.85
2023-10-27,237.66
2023-10-28,223.72
2023-10-29,227.06
2023-10-30,240.79
2023-10-31,240.09
2023-11-01,234.44
2023-11-02,236.5
2023-11-03,248.78
2023-11-04,230.77
2023-11-05,242.85
2023-11-06,236.05
2023-11-07,236.59
2023-11-08,250.46
2023-11-09,248.44
2023-11-10,249.03
2023-11-11,254.67
2023-11-12,242.54
2023-11-13,249.88
2023-11-14,240.69
2023-11-15,247.77
2023-11-16,243.97
2023-11-17,246.98
2023-11-18,252.71
2023-11-19,239.33
2023-11-20,269.19
2023-11-21,238.97
2023-11-22,237.65
2023-11-23,262.14
2023-11-24,259.25
2023-11-25,258.35
2023-11-26,259.17
2023-11-27,253.54
2023-11-28,245.48
2023-11-29,256.0
2023-11-30,249.26
2023-12-01,266.58
2023-12-02,256.15
2023-12-03,250.17
2023-12-04,256.02
2023-12-05,264.16
2023-12-06,255.21
2023-12-07,253.43
2023-12-08,264.91
2023-12-09,265.74
2023-12-10,259.04
2023-12-11,260.22
2023-12-12,268.07
2023-12-13,252.09
2023-12-14,253.33
2023-12-15,261.05
2023-12-16,266.93
2023-12-17,273.0
2023-12-18,285.48
2023-12-19,280.14
2023-12-20,270.8
2023-12-21,273.05
2023-12-22,264.05
2023-12-23,274.73
2023-12-24,272.87
2023-12-25,279.82
2023-12-26,269.17
2023-12-27,283.47
2023-12-28,294.45
2023-12-29,278.88
2023-12-30,284.83
2023-12-31,288.56
